,Name,Author,Price
0,Me vs Brain,Hayley Morris,US$34.21
1,Atomic Habits,James Clear,US$23.29
2,The Letters I Will Never Send,Isabella Dorta,US$18.08
3,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,US$12.98
4,Final Offer,Lauren Asher,US$15.71
5,The Body Keeps the Score,Bessel van der Kolk,US$18.95
6,UPROAR!,Alice Loxton,US$30.15
7,Verity,Colleen Hoover,US$13.30
8,Icebreaker,Hannah Grace,US$13.43
9,Timeless Textured Baby Crochet,Vita Apala,US$24.99
10,The Midnight Library,Matt Haig,US$12.46
11,Before the Coffee Gets Cold,Toshikazu Kawaguchi,US$13.48
12,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,US$13.13
13,The Psychology of Money,Morgan Housel,US$19.07
14,The Fine Print,Lauren Asher,US$14.44
15,How to Paint Without a Brush,Red Hong Yi,US$35.00
16,The Reverse Coloring Book (R),Kendra Norton,US$17.42
17,Twisted Love,Ana Huang,US$13.65
18,The Mini ADHD Coach,Alice Gendron,US$20.49
19,Small Things Like These,Claire Keegan,US$11.88
20,Terms and Conditions,Lauren Asher,US$14.88
21,12 Rules for Life,Jordan B. Peterson,US$16.29
22,The Daily Stoic,Ryan Holiday,US$15.03
23,Things We Never Got Over,Lucy Score,US$14.27
24,I Don't Need Therapy,Toni Lodge,US$22.82
25,Glucose Revolution,Jessie Inchauspe,"US$18.72
                        
                             US$20.49"
26,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,US$24.19
27,Spare,Prince Harry the Duke of Sussex,"US$28.50
                        
                             US$33.77"
28,Things We Hide From The Light,Lucy Score,US$15.13
29,The Silent Patient,Alex Michaelides,US$11.89
30,Me vs Brain,Hayley Morris,US$34.21
31,Atomic Habits,James Clear,US$23.29
32,The Letters I Will Never Send,Isabella Dorta,US$18.08
33,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,US$12.98
34,Final Offer,Lauren Asher,US$15.71
35,The Body Keeps the Score,Bessel van der Kolk,US$18.95
36,UPROAR!,Alice Loxton,US$30.15
37,Verity,Colleen Hoover,US$13.30
38,Icebreaker,Hannah Grace,US$13.43
39,Timeless Textured Baby Crochet,Vita Apala,US$24.99
40,The Midnight Library,Matt Haig,US$12.46
41,Before the Coffee Gets Cold,Toshikazu Kawaguchi,US$13.48
42,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,US$13.13
43,The Psychology of Money,Morgan Housel,US$19.07
44,The Fine Print,Lauren Asher,US$14.44
45,How to Paint Without a Brush,Red Hong Yi,US$35.00
46,The Reverse Coloring Book (R),Kendra Norton,US$17.42
47,Twisted Love,Ana Huang,US$13.65
48,The Mini ADHD Coach,Alice Gendron,US$20.49
49,Small Things Like These,Claire Keegan,US$11.88
50,Terms and Conditions,Lauren Asher,US$14.88
